id,name
14289,Тернопільська
14291,Пимоненка М.
14292,Героїв Крут
14293,Угорська
14294,Віденська
14295,Танячкевича Д.
14296,Світанкова
14298,Ромашкова
14299,Сусідня
14300,Пирогівка
14301,Рівнинна
14302,Вітрякова
14303,Росиста
14304,Листопадна
14306,Сумська
14308,Садибна
14310,Сихівська
14313,Розбіжна
14314,Простора
14315,Коломийська
14316,Майданна
14317,Розвилиста
14318,Слобідська
14319,Надійна
14323,Дністерська
14324,Білоцерківська
14325,Дунайська
14326,Раковського І.
14327,Орлина
14328,Свидницького А.
14329,Меблярська
14330,Навроцького В.
14332,Радість
14333,Січинського Д.
14335,Вигін
14336,Трильовського К.
14338,Кавалерідзе І.
14341,Драгана М.
14342,Морозна
14343,Колісна
14344,Лірницька
14345,Освицька
14346,Вулецька
14347,Колодязна
14348,Перелітна
14351,Скорини Ф.
14352,Максимовича М.
14353,Гашека Я.
14354,Боднарська
14355,Демнянська
14356,Хортицька
14358,Бузкова
14363,"Пимоненка СК ""Зелена Балка"""
14367,Мікльоша К.
14368,Хімік СК
14371,Хлібна
14373,"КСТ ""Світанок"""
14376,Нафтовик
14439,Авіаційна
22125,Осмомисла Я. князя
22126,Апостола Д.
22127,Хмельницького Б.-Грінченка
22130,Городоцька-Ряшівська
22131,Пасічна-Медової Печери
22133,Наукова-Стрийська
22134,Брюховицька
22158,Козельницька
22159,Розточчя-Загірна
22167,Геологічна
22168,Личаківська-Глинянський Тракт
22174,Зелена-Кримська
22175,Пластова
22177,Грінченка-Чигиринська
22179,Володимира Великого-Тролейбусна
22184,Варшавська-Чорновола
22185,Городоцька-Величка
22188,Туган-Барановського-Тершаковців
22189,Патона-Ряшівська
22191,Наукова-Підстригача
22193,Сяйво-шляхопровід
22194,Зелена-Вулецька
22195,Любінська-Петлюри
22196,Хмельницького Б.-Поліська
22197,Шевченка - Порічкова
22198,Шевченка - Величковського
22199,Пасічна-Пирогівка
22200,Князя Романа-Галицька (площа)
22201,Зелена-Липова Алея
22202,Виговського-Патона
22203,Варшавська-Тунельна
22204,Городоцька-Кропивницького
22205,Зелена-Дністерська
22206,Героїв УПА-Кульпарківська
22207,Антоновича-Залізняка
22208,Листопадового Чину-Лепкого Б.
22209,Куліша-Зернова
22210,Свободи-Дорошенка
22211,Наукова-Симоненка
22212,Святого Юра-Шептицьких
22213,Личаківська-Чернігівська
22214,Коперніка-Словацького
22215,Кульпарківська-Перфецького
22216,Гнатюка-Свободи
22217,Липинського-Бетховена
22218,Городоцька-Корсунська
22219,Стрийська-Сахарова
22220,Коперніка-Вітовського
22221,Левицького К.-Тершаківців
22222,Замарстинівська-Липинського
22223,Чернівецька-вокзал
22224,Беринди-Театральна
22225,Кульпарківська-Окружна
22227,Кульпарківська-Щирецька
22228,Кульпарківська-лікарня
22229,Зелена-Навроцького
22230,Володимира Великого-Бойчука
22232,Двірцева
22233,Шевченка-Я.Мудрого-Пстрака
22234,Богданівська-Старознесенська
22235,Б.Хмельницького-Механічна
